stream,phi,theta,ch_type,r,x,y,z,x_lambert,y_lambert,type
MiPf,90.0,90.0,eeg,5,6.123233995736766e-17,1.0,6.123233995736766e-17,6.123233995736766e-17,1.0,eeg
LLPf,90.0,126.0,eeg,5,-0.587785252292473,0.8090169943749475,6.123233995736766e-17,-0.587785252292473,0.8090169943749475,eeg
LLFr,90.0,162.0,eeg,5,-0.9510565162951535,0.3090169943749475,6.123233995736766e-17,-0.9510565162951535,0.3090169943749475,eeg
LLTe,90.0,198.0,eeg,5,-0.9510565162951536,-0.3090169943749473,6.123233995736766e-17,-0.9510565162951536,-0.3090169943749473,eeg
LLOc,90.0,234.0,eeg,5,-0.5877852522924732,-0.8090169943749473,6.123233995736766e-17,-0.5877852522924732,-0.8090169943749473,eeg
MiOc,90.0,270.0,eeg,5,-1.8369701987210297e-16,-1.0,6.123233995736766e-17,-1.8369701987210297e-16,-1.0,eeg
RLOc,90.0,306.0,eeg,5,0.5877852522924729,-0.8090169943749476,6.123233995736766e-17,0.5877852522924729,-0.8090169943749476,eeg
RLTe,90.0,342.0,eeg,5,0.9510565162951535,-0.3090169943749476,6.123233995736766e-17,0.9510565162951535,-0.3090169943749476,eeg
RLFr,90.0,18.0,eeg,5,0.9510565162951535,0.3090169943749474,6.123233995736766e-17,0.9510565162951535,0.3090169943749474,eeg
RLPf,90.0,54.0,eeg,5,0.5877852522924731,0.8090169943749475,6.123233995736766e-17,0.5877852522924731,0.8090169943749475,eeg
LMPf,59.0,108.0,eeg,5,-0.26487926293945346,0.8152145468878713,0.5150380749100542,-0.21519698658135228,0.662308222851152,eeg
LDFr,59.0,144.0,eeg,5,-0.6934629132905096,0.5038302981000494,0.5150380749100542,-0.5633930251465353,0.4093289927505518,eeg
LDCe,59.0,180.0,eeg,5,-0.8571673007021123,1.0497271911386187e-16,0.5150380749100542,-0.6963920771303661,8.528343282092797e-17,eeg
LDPa,59.0,216.0,eeg,5,-0.6934629132905098,-0.5038302981000492,0.5150380749100542,-0.5633930251465354,-0.4093289927505516,eeg
LMOc,59.0,252.0,eeg,5,-0.26487926293945363,-0.8152145468878713,0.5150380749100542,-0.21519698658135242,-0.662308222851152,eeg
RMOc,59.0,288.0,eeg,5,0.26487926293945335,-0.8152145468878713,0.5150380749100542,0.21519698658135217,-0.662308222851152,eeg
RDPa,59.0,324.0,eeg,5,0.6934629132905096,-0.5038302981000494,0.5150380749100542,0.5633930251465353,-0.4093289927505518,eeg
RDCe,59.0,0.0,eeg,5,0.8571673007021123,0.0,0.5150380749100542,0.6963920771303661,0.0,eeg
RDFr,59.0,36.0,eeg,5,0.6934629132905097,0.5038302981000493,0.5150380749100542,0.5633930251465354,0.4093289927505517,eeg
RMPf,59.0,72.0,eeg,5,0.2648792629394535,0.8152145468878713,0.5150380749100542,0.2151969865813523,0.662308222851152,eeg
LMFr,26.0,126.0,eeg,5,-0.2576680951131586,0.3546497075959983,0.898794046299167,-0.18699143573350022,0.25737163142653713,eeg
LMCe,26.0,198.0,eeg,5,-0.4169157357095314,-0.13546413420145953,0.898794046299167,-0.30255849862194506,-0.09830721546492655,eeg
MiPa,26.0,270.0,eeg,5,-8.052747326306972e-17,-0.4383711467890774,0.898794046299167,-5.843931835968885e-17,-0.31812883192322106,eeg
RMCe,26.0,342.0,eeg,5,0.41691573570953133,-0.13546413420145967,0.898794046299167,0.302558498621945,-0.09830721546492666,eeg
RMFr,26.0,54.0,eeg,5,0.25766809511315864,0.3546497075959983,0.898794046299167,0.18699143573350024,0.25737163142653713,eeg
MiCe,0.0,0.0,eeg,5,0.0,0.0,1.0,0.0,0.0,eeg
A1,130.0,205.0,ref,5,-0.694272044014884,-0.3237443709670645,-0.6427876096865394,-1.1616262588585915,-0.5416752204197017,eeg
A2,130.0,335.0,ref,5,0.694272044014884,-0.32374437096706443,-0.6427876096865394,1.1616262588585915,-0.5416752204197016,eeg
lle,140.0,120.0,eog,5,-0.32139380484326957,0.5566703992264196,-0.7660444431189779,-0.6644630243886743,1.1508837179920628,eeg
rle,140.0,60.0,eog,5,0.3213938048432698,0.5566703992264195,-0.7660444431189779,0.6644630243886748,1.1508837179920626,eeg
lhz,108.0,130.0,eog,5,-0.6113273447861691,0.7285515593999962,-0.30901699437494734,-0.7354279634222157,0.8764489175026686,eeg
rhz,108.0,50.0,eog,5,0.6113273447861691,0.7285515593999962,-0.30901699437494734,0.7354279634222157,0.8764489175026686,eeg
nasion,108.0,90.0,fid,5,5.823541592445463e-17,0.9510565162951536,-0.30901699437494734,7.005731658764218e-17,1.1441228056353685,eeg
lpa,108.0,180.0,fid,5,-0.9510565162951536,1.1647083184890926e-16,-0.30901699437494734,-1.1441228056353685,1.4011463317528436e-16,eeg
rpa,108.0,0.0,fid,5,0.9510565162951536,0.0,-0.30901699437494734,1.1441228056353685,0.0,eeg
gnd,72.0,90.0,gnd,5,5.823541592445462e-17,0.9510565162951535,0.30901699437494745,5.089961989885745e-17,0.8312538755549068,eeg
